ticker,market_cap,universe_rank
NVDA,5001898000000,1
AAPL,4865774169240,2
GOOGL,4367818000000,3
GOOG,4365031320000,4
MSFT,3006881799485,5
AMZN,2721064617383,6
TSM,2103392250322,7
AVGO,1790235561802,8
SPCX,1719418214033,9
META,1694778318916,10
TSLA,1463605592529,11
LLY,1103735053953,12
MU,958318323452,13
JPM,919303926161,14
WMT,917725688155,15
AMD,806796737168,16
ASML,691874812971,17
V,685645842997,18
XOM,605328083538,19
JNJ,601685085510,20
INTC,484581790000,21
MA,484283475087,22
ABBV,445744160810,23
AMAT,444768133092,24
BAC,436156461410,25
CSCO,429439013925,26
COST,417996511922,27
CAT,402790228275,28
LRCX,396881212560,29
CVX,366543604586,30
KO,364669352504,31
ORCL,362996955420,32
GE,353247904340,33
PG,350943151974,34
HSBC,345836405844,35
HD,344264505627,36
MS,341513708577,37
GS,322801545170,38
PLTR,321095966199,39
MRK,316310412829,40
NFLX,312714952682,41
RY,300546287200,42
PM,291995999798,43
NVS,291699147169,44
PANW,288518150000,45
KLAC,287151948038,46
TM,283677974782,47
GEV,274568685691,48
WFC,268852947995,49
MUFG,264709292071,50
TXN,264695937798,51
AZN,263080643676,52
RTX,260152304621,53
DELL,257292391347,54
AXP,245037072210,55
LIN,239506285322,56
CCZ,237659127755,57
NVO,228237678653,58
C,224880321517,59
ANET,211564923663,60
SNDK,209975727419,61
TMUS,209709630060,62
CRWD,207918362383,63
IBM,205853674026,64
TD,203685551300,65
SAN,200435764605,66
TMO,199813429301,67
AMGN,199570627018,68
SAP,197715471098,69
MCD,192987601422,70
PEP,190279532101,71
APH,188576486902,72
NEE,185553682755,73
ADI,185090639765,74
VZ,184058636753,75
QCOM,180044280000,76
SCHW,177878779656,77
UNP,177039342984,78
TTE,172367082516,79
ABT,172204285793,80
DIS,171984091433,81
TJX,171328612530,82
BA,169749082446,83
WELL,169687715491,84
GILD,168332043517,85
BLK,167887887613,86
STX,167709832276,87
UBS,165894131770,88
SHOP,165053929309,89
MRVL,164306917451,90
DE,160520989151,91
BUD,160117482654,92
WDC,158819185501,93
IBKR,155793127665,94
T,153697255030,95
ETN,153475575000,96
UBER,149372255574,97
APP,148293154350,98
